circuit,level,cp,aerd,ep
c1908,1,0.940507,6.67E-05,0.059493
c1908,2,0.940507,6.65E-05,0.059493
c1908,4,0.940507,6.61E-05,0.059493
c1908,99999,1,0.00E+00,0
c2670,1,0.719516,0.00804965,0.280484
c2670,2,0.865447,0.00639691,0.134553
c2670,4,0.873776,0.00494718,0.126224
c2670,99999,1,0.00E+00,0
c880,1,0.747527,0.00559932,0.252473
c880,2,0.747637,0.00483476,0.252363
c880,4,0.846625,0.00172011,0.153375
c880,99999,1,0.00E+00,0
cla32,1,0.940578,0.000464074,0.059422
cla32,2,0.972477,0.000277786,0.027523
cla32,4,0.994665,8.59E-06,0.005335
cla32,99999,1,0.00E+00,0
ksa32,1,1,0,0
ksa32,2,1,0,0
ksa32,4,1,0,0
ksa32,99999,1,0.00E+00,0
rca32,1,0.994465,0.000120158,0.005535
rca32,2,0.99476,0.000104159,0.00524
rca32,4,1,0,0
rca32,99999,1,0.00E+00,0
average,1,0.890432167,0.002383317,0.109567833
average,2,0.920138,0.001946686,0.079862
average,4,0.9425955,0.001123663,0.0574045
average,99999,1,0,0
average,monte carlo,1,0,0
