circuit,original,,maxLevel=1,,,
,area,delay,NMED,area,delay,
RCA32,691,42.8,1.50E-05,278,26.1,
RCA32,691,42.8,2.93E-05,254,26.1,
RCA32,691,42.8,5.88E-05,227,25.5,
RCA32,691,42.8,0.000121903,205,23.7,
RCA32,691,42.8,0.000243829,185,22.8,
RCA32,691,42.8,0.000478607,167,22.8,
RCA32,691,42.8,0.000900149,161,22.8,
RCA32,691,42.8,0.00184634,137,20.8,
CLA32,1063,45.8,1.44E-05,334,36.3,
CLA32,1063,45.8,0.000029523,315,36.1,
CLA32,1063,45.8,5.93E-05,274,35,
CLA32,1063,45.8,0.000116475,240,34.2,
CLA32,1063,45.8,0.00024123,212,29.7,
CLA32,1063,45.8,0.000471601,196,32.8,
CLA32,1063,45.8,0.000948045,149,29.1,
CLA32,1063,45.8,0.00191775,132,24.9,
KSA32,1128,27,1.36E-05,413,21.5,
KSA32,1128,27,2.48E-05,367,23.6,
KSA32,1128,27,5.99E-05,323,24.8,
KSA32,1128,27,0.000118346,283,27.5,
KSA32,1128,27,0.000228114,247,21.6,
KSA32,1128,27,0.000478334,210,20.9,
KSA32,1128,27,0.000956009,191,18.6,
KSA32,1128,27,0.00193555,149,20.6,
MUL8,1276,67.9,1.52E-05,1018,61,
MUL8,1276,67.9,2.99E-05,994,60.7,
MUL8,1276,67.9,6.07E-05,961,59.8,
MUL8,1276,67.9,0.000115941,924,59,
MUL8,1276,67.9,0.000241326,875,58.7,
MUL8,1276,67.9,0.000486816,797,57.7,
MUL8,1276,67.9,0.000904305,739,57.2,
MUL8,1276,67.9,0.00177923,668,56.8,
WTM8,1104,69.6,1.44E-05,1003,64.4,
WTM8,1104,69.6,2.96E-05,995,64.4,
WTM8,1104,69.6,5.94E-05,948,59.5,
WTM8,1104,69.6,0.00011001,917,58.7,
WTM8,1104,69.6,0.000239578,869,62,
WTM8,1104,69.6,0.000483718,772,61.4,
WTM8,1104,69.6,0.000967059,673,57.6,
WTM8,1104,69.6,0.00189208,567,61.6,
MAC,1372,57.5,1.53E-05,1301,36.6,
MAC,1372,57.5,0.000028763,1237,36.6,
MAC,1372,57.5,6.10E-05,1197,36.6,
MAC,1372,57.5,0.00011628,1084,36.5,
MAC,1372,57.5,0.000240533,1012,36.5,
MAC,1372,57.5,0.000482915,874,36.5,
MAC,1372,57.5,0.000970514,733,36.1,
MAC,1372,57.5,0.00185519,590,34.5,
EUDIST,2731,87.3,0.000015213,2712,53.8,
EUDIST,2731,87.3,0.000029695,2704,53.8,
EUDIST,2731,87.3,6.02E-05,2684,53.8,
EUDIST,2731,87.3,0.000100601,2672,53.8,
EUDIST,2731,87.3,0.000190511,2648,53.8,
EUDIST,2731,87.3,0.000342119,2560,53.8,
EUDIST,2731,87.3,0.000857572,2448,53.8,
EUDIST,2731,87.3,0.00171933,2290,53.8,0.161479312
SAD,999,70.9,1.52E-05,975,44,
SAD,999,70.9,3.01E-05,972,43.9,
SAD,999,70.9,5.96E-05,952,44,
SAD,999,70.9,9.51E-05,927,43.1,
SAD,999,70.9,0.000248555,767,40.7,
SAD,999,70.9,0.000463354,738,38.6,
SAD,999,70.9,0.000941044,633,37.2,
SAD,999,70.9,0.00184428,554,35.1,
