circuit,original,,maxLevel=1,,,,,,,,maxLevel=2,,,,,,,,maxLevel=4,,,,,,,,maxLevel=inf,,,,,,,
,area,delay,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR,error rate,area,delay,time (s),AR,average AR,DR,average DR
alu4,2740,51.5,0.05,1309,34.8,,,0.477737226,,,0.05,1309,34.8,,,0.477737226,,,0.04995,1201,31.9,,,0.438321168,,,0.04995,1201,31.9,,,0.438321168,,
c1908,1013,60.6,0.03679,279,23.8,,,0.275419546,,,0.03679,279,23.8,,,0.275419546,,,0.03679,279,23.8,,,0.275419546,,,0.03679,279,23.8,,,0.275419546,,
c2670,1434,67.3,0.04643,873,39.3,,,0.608786611,,,0.04942,876,39.6,,,0.610878661,,,0.04942,876,39.6,,,0.610878661,,,0.04942,876,39.6,,,0.610878661,,
c3540,1615,84.5,0.04975,1269,82.5,,,0.785758514,,,0.04975,1269,82.5,,,0.785758514,,,0.04975,1269,82.5,,,0.785758514,,,0.04975,1269,82.5,,,0.785758514,,
c5315,2432,75.3,0,2385,77.3,,,0.980674342,,,0,2403,76.3,,,0.988075658,,,0.04991,2249,73.9,,,0.924753289,,,0.04991,2252,73.9,,,0.925986842,,
c7552,2759,159.8,0,2648,161.2,,,0.959768032,,,0,2678,160.7,,,0.970641537,,,0.04948,2296,154.9,,,0.832185574,,,0.04948,2296,154.9,,,0.832185574,,
c880,599,40.4,0.04963,487,33.5,,,0.813021703,,,0.04963,487,33.5,,,0.813021703,,,0.04963,487,33.5,,,0.813021703,,,0.04963,487,33.5,,,0.813021703,,
CLA32,1063,45.8,0.04981,784,48.1,,,0.737535278,,,0.04981,784,48.1,,,0.737535278,,,0.04981,784,48.1,,,0.737535278,,,0.04981,784,48.1,,,0.737535278,,
KSA32,1128,27,0.04854,846,19.6,,,0.75,,,0.04854,846,19.6,,,0.75,,,0.04854,846,19.6,,,0.75,,,0.04854,846,19.6,,,0.75,,
MUL8,1276,67.9,0.04098,997,61.3,,,0.781347962,,,0.04098,997,61.3,,,0.781347962,,,0.04098,997,61.3,,,0.781347962,,,0.04098,997,61.3,,,0.781347962,,
RCA32,691,42.8,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,,0.04813,651,28,,,0.94211288,,
wal8,1104,69.6,0.04718,1019,68.1,,,0.923007246,,,0.04718,1019,68.1,,,0.923007246,,,0.04718,1019,68.1,,,0.923007246,,,0.04718,1019,68.1,,,0.923007246,,
