c880,0.0007,599,,548,38.5
c880,0.00297,599,,537,38.2
c880,0.00458,599,,526,38.1
c880,0.00458,599,,526,38.1
c880,0.00458,599,,526,38.1
c880,0.02646,599,,505,34.2
c880,0.04762,599,,487,33.2
c1908,0.00016,1013,,746,60.5
c1908,0.00127,1013,,728,60.4
c1908,0.00127,1013,,728,60.4
c1908,0.00703,1013,,693,60.4
c1908,0.00887,1013,,680,60.1
c1908,0.02958,1013,,512,49.5
c1908,0.03655,1013,,279,23.8
c2670,0,1434,,960,47.4
c2670,0.00103,1434,,957,46.8
c2670,0.00427,1434,,940,46.5
c2670,0.00698,1434,,935,46.2
c2670,0.00825,1434,,930,46.3
c2670,0.02701,1434,,904,40.8
c2670,0.04769,1615,,889,41
c3540,0.00077,1615,,1581,83
c3540,0.00292,1615,,1569,83.1
c3540,0.00469,1615,,1563,83.1
c3540,0.00599,1615,,1555,82.7
c3540,0.00599,1615,,1555,82.7
c3540,0.0229,1615,,1519,83.4
c3540,0.04988,1615,,1433,82.3
c5315,0.00088,2432,,2357,72.7
c5315,0.00222,2432,,2346,72.7
c5315,0.00413,2432,,2335,72.7
c5315,0.0074,2432,,2316,72.7
c5315,0.00826,2432,,2309,71.8
c5315,0.01064,2432,,2300,72.9
c5315,0.04793,2432,,2250,72.9
c7552,0.00073,2759,,2518,157
c7552,0.00237,2759,,2461,157
c7552,0.00359,2759,,2437,157
c7552,0.00545,2759,,2424,156.8
c7552,0.00545,2759,,2424,156.8
c7552,0.00545,2759,,2424,156.8
c7552,0.0499,2759,,2324,154.8
alu4,0.0009,2740,,2628,51.4
alu4,0.0027,2740,,2488,46
alu4,0.005,2740,,2383,46
alu4,0.00765,2740,,2280,46.6
alu4,0.01,2740,,2183,46.8
alu4,0.0299,2740,,1599,37
alu4,0.04963,2740,,1338,34.5
rca32,7.00E-05,691,,677,28.5
rca32,0.00207,691,,670,26.9
rca32,0.00387,691,,664,28
rca32,0.00387,691,,664,28
rca32,0.00387,691,,664,28
rca32,0.00387,691,,664,28
rca32,0.04761,691,,651,28
cla32,0.00045,1063,,844,46.7
cla32,0.00234,1063,,834,47.7
cla32,0.00429,1063,,830,47.7
cla32,0.00571,1063,,820,48.1
cla32,0.0093,1063,,805,48.1
cla32,0.02719,1063,,794,48.1
cla32,0.04302,1063,,790,44.6
ksa32,0.00095,1128,,999,25.3
ksa32,0.00095,1128,,999,25.3
ksa32,0.00402,1128,,996,25.3
ksa32,0.00732,1128,,981,24.5
ksa32,0.00835,1128,,977,24.5
ksa32,0.02328,1128,,851,19.6
ksa32,0.04853,1128,,843,19.6
mul8,0,1276,,1029,61
mul8,0,1276,,1029,61
mul8,0,1276,,1029,61
mul8,0,1276,,1029,61
mul8,0,1276,,1029,61
mul8,0.02268,1276,,1012,61
mul8,0.04137,1276,,1002,61.3
wtm8,0.0001,1104,,1054,64.2
wtm8,0.0001,1104,,1054,64.2
wtm8,0.00304,1104,,1053,66.7
wtm8,0.00304,1104,,1053,66.7
wtm8,0.00963,1104,,1044,68.9
wtm8,0.02283,1104,,1039,67.4
wtm8,0.04854,1104,,1031,67.4
